text,user
"I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations, John, on receiving this year's Liberty Medal.",BarackObama
Michelle &amp; I are praying for the victims in Las Vegas. Our thoughts are with their families &amp; everyone enduring another senseless tragedy.,BarackObama
Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country. https://t.co/WBzcltmgqj,BarackObama
"We're expanding our efforts to help Puerto Rico &amp; the USVI, where our fellow Americans need us right now. Join us aäó_ https://t.co/gkrp1RwXR4",BarackObama
"Prosecutor, soldier, family man, citizen. Beau made us want to be better. What a legacy to leave. What a testamentäó_ https://t.co/XDtkLu32wd",BarackObama
RT @gatesfoundation: President @BarackObama addresses #Goalkeepers17 starting at 12:40 PM. Tune in here: https://t.co/XmHBErSHYw,BarackObama
Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.,BarackObama
"Coding is important äóñ and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, gäó_ https://t.co/xwlnvxsjKb",BarackObama
Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're gettinäó_ https://t.co/xY0UhBSvqp,BarackObama
We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.,BarackObama
"RT @GeorgeHWBush: Across the U.S., Americans have answered the call to help with hurricane recovery. Praying for all Floridians. #Irma httpäó_",BarackObama
Proud of these McKinley Tech studentsäóîinspiring young minds that make me hopeful about our future. https://t.co/nqYC1mjjTB,BarackObama
Americans always answer the call. https://t.co/SV1jixOExu https://t.co/ktEvL6s89d,BarackObama
"To target hopeful young strivers who grew up here is wrong, because theyäó»ve done nothing wrong. My statement: https://t.co/TCxZdld7L4",BarackObama
Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's oneäó_ https://t.co/I3RHWyZe31,BarackObama
Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.,BarackObama
"""...For love comes more naturally to the human heart than its opposite."" - Nelson Mandela",BarackObama
"""People must learn to hate, and if they can learn to hate, they can be taught to love...""",BarackObama
"""No one is born hating another person because of the color of his skin or his background or his religion..."" https://t.co/InZ58zkoAm",BarackObama
"John McCain is an American hero &amp; one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell, John.",BarackObama
Health care has always been about something bigger than politics: it's about the character of our country. https://t.co/UqLO14Hef7,BarackObama
"Of all that I've done in my life, I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dadäó_ https://t.co/XSqMhcSuvR",BarackObama
"On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun violeäó_ https://t.co/S7dth6Ywb0",BarackObama
Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country weäó_ https://t.co/BwRS0onlOL,BarackObama
Good to see my friend Prince Harry in London to discuss the work of our foundations &amp; offer condolences to victimsäó_ https://t.co/f1U8It8AmE,BarackObama
"Through faith, love, and resolve the character of the people of Manchester has shown itself.  Our thoughts &amp; prayeräó_ https://t.co/xyMer891Zo",BarackObama
Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.,BarackObama
"Excited to hear from Sierra, Imani, Filiz, and Benedikt who are making a difference at home and abroad. See you inäó_ https://t.co/bF1kB1GvxC",BarackObama
"Happy Mother's Day to my love and partner on this journey @MichelleObama, and to all the wonderful, hardworking mothers out there.",BarackObama
"We're rolling up our sleeves again, back where it all started. Join us at https://t.co/GYkEOK8EuT. https://t.co/UlyvNrQvZR",BarackObama
"Well said, Jimmy. That's exactly why we fought so hard for the ACA, and why we need to protect it for kids like Biläó_ https://t.co/jB3LXT94Ok",BarackObama
RT @ObamaFoundation: Itäó»s a beautiful day on the South Side. https://t.co/PtoaFbww0s,BarackObama
My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.,BarackObama
"Chuck Berry rolled over everyone who came before him äóñ and turned up everyone who came after.  We'll miss you, Chuck.  Be good.",BarackObama
"On International Womenäó»s Day, @MichelleObama and I are inspired by all of you who embrace your power to drive changäó_ https://t.co/Er9mIQlmgr",BarackObama
RT @ObamaFoundation: Courage comes in many forms. Who in your local community or neighborhood leads by example? #ProfileInCourage https://täó_,BarackObama
Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them:äó_ https://t.co/25Ohhab8Xn,BarackObama
We asked. You answered. https://t.co/mAJvko6VqR,BarackObama
"Happy Valentineäó»s Day, @michelleobama! Almost 28 years with you, but it always feels new. https://t.co/O0UhJWoqGN",BarackObama
I read letters like these every single day. It was one of the best parts of the job äóñ hearing from you. https://t.co/so1luBcszV,BarackObama
