text,user
"I had a very respectful conversation with the widow of Sgt. La David Johnson, and spoke his name from beginning, without hesitation!",realDonaldTrump
"Two dozen NFL players continue to kneel during the National Anthem, showing total disrespect to our Flag &amp; Country.  No leadership in NFL!",realDonaldTrump
"There will be NO change to your 401(k). This has always been a great and popular middle class tax break that works, and it stays!",realDonaldTrump
"It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred.",realDonaldTrump
"Wacky Congresswoman Wilson is the gift that keeps on giving for the Republican Party, a disaster for Dems. You watch her in action &amp; vote R!",realDonaldTrump
Doing interview today with Maria Bartiromo at 10:00 A.M. on @FoxNews - ENJOY!,realDonaldTrump
"...2nd Amendment, Strong Military, ISIS, historic VA improvement, Supreme Court Justice, Record Stock Market, lowest unemployment in 17 yrs!",realDonaldTrump
"...9 months than this Administration. Over 50 Legislation approvals, massive regulation cuts, energy freedom, pipelines, border security....",realDonaldTrump
"I agree getting Tax Cuts approved  is important (we will also get HealthCare), but perhaps no Administration has done more in its first.....",realDonaldTrump
"Just out, but lightly reported: ""Fewest jobless claims since 1973 show firm U.S. Job Market"" Lowest since March 1973. @bpolitics",realDonaldTrump
"Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side, not mine!",realDonaldTrump
"Keep hearing about ""tiny"" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN, ABC, NBC &amp; CBS?",realDonaldTrump
"Officials behind the now discredited ""Dossier"" plead the Fifth. Justice Department and/or FBI should immediately release who paid for it.",realDonaldTrump
ÛÏTrump hails liberation of Raqqa as critical breakthrough in anti-ISIS campaignÛ https://t.co/2eoYXJB7h0,realDonaldTrump
Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!,realDonaldTrump
People get what is going on! https://t.co/Pdg7VqQv6M,realDonaldTrump
RT @IamVicky4Trump: TUNE IN: Maria Bartiromo Has an Exclusive Interview With President Trump https://t.co/H5VuJwy78o,realDonaldTrump
"Subject to the receipt of further information, I will be allowing, as President, the long blocked and classified JFK FILES to be opened.",realDonaldTrump
"I hope the Fake News Media keeps talking about Wacky Congresswoman Wilson in that she, as a representative, is killing the Democrat Party!",realDonaldTrump
"Budget that just passed is a really big deal, especially in terms of what will be the biggest tax cut in U.S. history - MSM barely covered!",realDonaldTrump
"Great book just out, ""A Place Called Heaven,"" by Dr. Robert Jeffress - A wonderful man!",realDonaldTrump
This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today: https://t.co/9czcJDbmVW https://t.co/s3kXpvbYih,realDonaldTrump
"Today, it was an honor to have @UNSecretary-General @AntonioGuterres at the @WhiteHouse. Speaking for the U.S.A., we appreciate all you do! https://t.co/Sk0Jcazzxw",realDonaldTrump
Thank you @GeraldoRivera @FoxandFriends. Agree! https://t.co/8cZLdAbgzw,realDonaldTrump
"Just out report: ""United Kingdom crime rises 13% annually amid spread of Radical Islamic terror."" Not good, we must keep America safe!",realDonaldTrump
"....This now allows for the passage of large scale Tax Cuts (and Reform), which will be the biggest in the history of our country!",realDonaldTrump
"The Budget passed late last night, 51 to 49. We got ZERO Democrat votes with only Rand Paul (he will vote for Tax Cuts) voting against.....",realDonaldTrump
Great news on the 2018 budget @SenateMajLdr McConnell - first step toward delivering MASSIVE tax cuts for the American people! #TaxReform https://t.co/aBzQR7KR0c,realDonaldTrump
Big ratings getter @seanhannity and Apprentice Champion John Rich are right now going on stage in Las Vegas for #VegasStrong. Great Show!,realDonaldTrump
"The Fake News is going crazy with wacky Congresswoman Wilson(D), who was SECRETLY on a very personal call, and gave a total lie on content!",realDonaldTrump
"Keep up the GREAT work. I am with you 100%!""ISIS is losing its grip...""Army Colonel Ryan DillonCJTFÛÒOIRhttps://t.co/jVGuvv5mzm https://t.co/PSCXg38CtS",realDonaldTrump
It was great to have Governor @RicardoRossello of #PuertoRico_Ùàµ_Ùàáwith us at the @WhiteHouse today. We are with you! #PRStrong https://t.co/Op2xDZxvNc,realDonaldTrump
RT @USArmy333: @804StreetMedia @realDonaldTrump HeÛªs done more in 9 months then obama did in8 yrs,realDonaldTrump
".@foxandfriends ""Russia sent millions to Clinton Foundation""",realDonaldTrump
"Workers of firm involved with the discredited and Fake Dossier take the 5th. Who paid for it, Russia, the FBI or the Dems (or all)?",realDonaldTrump
"Uranium deal to Russia, with Clinton help and Obama Administration knowledge, is the biggest story that Fake Media doesn't want to follow!",realDonaldTrump
"Republicans are going for the big Budget approval today, first step toward massive tax cuts. I think we have the votes, but who knows?",realDonaldTrump
"""46% of Americans think the Media is inventing stories about Trump &amp; his Administration."" @FoxNews   It is actually much worse than this!",realDonaldTrump
".@DanaPerino &amp; @BradThor,Thank you so much for the wonderful compliment. Working hard! #MAGA https://t.co/AKWlsMsCVH",realDonaldTrump
"""20,000_ÙÒö21,000_ÙÒö22,000_ÙÒö 23,000_ÙÒöthis year...FOUR one thousand milestones this year..."" #Dow23K #MAGA https://t.co/GQ5f2eVvEI",realDonaldTrump
This is what REAL PRIDE in our COUNTRY is all about! #USA_Ùà¼_Ùàü https://t.co/kyv866prdE,realDonaldTrump
".@NFL: Too much talk, not enough action. Stand for the National Anthem.",realDonaldTrump
"""Iran hides behind its assertion of technical compliance w/the nuclear deal, while it brazenly violates the other limits..""Amb. @NikkiHaley https://t.co/xvHgx7d1cT",realDonaldTrump
It was an honor to welcome Republican and Democratic members of the Senate Finance Committee to the @WhiteHouse today. #TaxReform https://t.co/ge4Xic9fId,realDonaldTrump
Our hearts are with all affected by the wildfires in California. God bless our brave First Responders and @FEMA team. We support you! https://t.co/YaoPbaVI5L,realDonaldTrump
The current tax code is a burden on American taxpayers &amp; harmful to job-creators. Americans need #TaxReform! More: https://t.co/qXyiYiFWCO https://t.co/NGIjJOc3TP,realDonaldTrump
"I am supportive of Lamar as a person &amp; also of the process, but I can never support bailing out ins co's who have made a fortune w/ O'Care.",realDonaldTrump
Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!,realDonaldTrump
The NFL has decided that it will not force players to stand for the playing of our National Anthem. Total disrespect for our great country!,realDonaldTrump
"As it has turned out, James Comey lied and leaked and totally protected Hillary Clinton. He was the best thing that ever happened to her!",realDonaldTrump
